MoonRise,Az,Phase,Paksha,days,Fullmoon,Newmoon,Eclipse
-01496-01-10,105.3445,27.353,Shukla,22636.0,0,0,0.0
-01496-01-11,97.9812,38.111999999999995,Shukla,22635.0,0,0,0.0
-01496-01-12,91.2991,49.675,Shukla,22634.0,0,0,0.0
-01496-01-13,84.5176,61.348,Shukla,22633.0,0,0,0.0
-01496-01-14,76.89,72.389,Shukla,22632.0,0,0,0.0
-01496-01-15,70.5361,82.274,Shukla,22631.0,0,0,0.0
-01496-01-16,65.7456,90.37899999999999,Shukla,22630.0,0,0,0.0
-01496-01-17,61.918,96.155,Shukla,22629.0,0,0,0.0
-01496-01-18,60.3734,99.329,Shukla,22628.0,0,0,0.0
-01496-01-19,61.421,99.78399999999999,Shukla,22627.0,1,0,0.0
-01496-01-20,63.2429,97.669,Krishna,22626.0,0,0,0.0
-01496-01-21,67.6824,93.26899999999999,Krishna,22625.0,0,0,0.0
-01496-01-22,72.4924,87.039,Krishna,22624.0,0,0,0.0
-01496-01-23,78.3028,79.374,Krishna,22623.0,0,0,0.0
-01496-01-24,83.744,70.73,Krishna,22622.0,0,0,0.0
-01496-01-25,90.5154,61.358000000000004,Krishna,22621.0,0,0,0.0
-01496-01-26,96.2816,51.692,Krishna,22620.0,0,0,0.0
-01496-01-27,102.8039,41.916000000000004,Krishna,22619.0,0,0,0.0
-01496-01-28,107.7432,32.441,Krishna,22618.0,0,0,0.0
-01496-01-29,112.8565,23.475,Krishna,22617.0,0,0,0.0
-01496-01-30,116.8188,15.425999999999998,Krishna,22616.0,0,0,0.0
-01496-01-31,119.3708,8.686,Krishna,22615.0,0,0,0.0
-01496-02-02,120.3514,3.6660000000000004,Krishna,22613.0,0,0,0.0
-01496-02-03,119.748,0.769,Krishna,22612.0,0,0,0.0
-01496-02-04,116.7349,0.324,Krishna,22611.0,0,1,0.0
-01496-02-05,112.5596,2.511,Shukla,22610.0,0,0,0.0
-01496-02-06,107.5311,7.347,Shukla,22609.0,0,0,0.0
-01496-02-07,100.0235,14.540999999999999,Shukla,22608.0,0,0,0.0
-01496-02-08,93.1895,23.8,Shukla,22607.0,0,0,0.0
-01496-02-09,86.2979,34.537,Shukla,22606.0,0,0,0.0
-01496-02-10,78.6159,46.027,Shukla,22605.0,0,0,0.0
-01496-02-11,72.2474,57.733999999999995,Shukla,22604.0,0,0,0.0
-01496-02-12,67.4224,68.993,Shukla,22603.0,0,0,0.0
-01496-02-13,63.4713,79.107,Shukla,22602.0,0,0,0.0
-01496-02-14,60.6921,87.557,Shukla,22601.0,0,0,0.0
