DaysSince,Date,jd,Body,EclType,Mag
178,-1762-Mar-19,1077580.0,L,T,2.639
354,-1761-Mar-09,1077934.0,L,P,1.7590000000000001
178,-1761-Sep-02,1078112.0,L,P,1.72
148,-1760-Jan-28,1078260.0,L,N,0.406
206,-1760-Aug-22,1078466.0,L,N,0.341
148,-1759-Jan-16,1078614.0,L,P,1.659
530,-1758-Jul-01,1079144.0,L,T,2.832
178,-1758-Dec-26,1079322.0,L,P,1.4609999999999999
178,-1757-Jun-21,1079500.0,L,P,1.445
148,-1757-Nov-16,1079648.0,L,N,0.04
28,-1757-Dec-15,1079676.0,L,N,0.166
178,-1756-Jun-09,1079854.0,L,N,0.141
148,-1756-Nov-04,1080002.0,L,P,1.327
178,-1755-May-01,1080180.0,L,T,2.323
530,-1754-Oct-14,1080710.0,L,P,1.8359999999999999
354,-1753-Oct-03,1081064.0,L,N,0.606
148,-1752-Feb-28,1081212.0,L,P,1.3980000000000001
178,-1752-Aug-23,1081390.0,L,P,1.403
176,-1751-Feb-16,1081566.0,L,T,2.775
178,-1751-Aug-12,1081744.0,L,T,2.737
178,-1750-Feb-06,1081922.0,L,P,1.6230000000000002
176,-1750-Aug-01,1082098.0,L,P,1.7209999999999999
178,-1749-Jan-26,1082276.0,L,N,0.321
176,-1749-Jul-22,1082452.0,L,N,0.409
148,-1749-Dec-17,1082600.0,L,P,1.6
178,-1748-Jun-11,1082778.0,L,P,1.8419999999999999
176,-1748-Dec-05,1082954.0,L,T,2.852
178,-1747-May-31,1083132.0,L,T,2.465
176,-1747-Nov-24,1083308.0,L,P,1.72
354,-1746-Nov-13,1083662.0,L,N,0.517
326,-1745-Oct-05,1083988.0,L,P,1.3869999999999998
178,-1744-Mar-30,1084166.0,L,T,2.502
176,-1744-Sep-23,1084342.0,L,T,2.623
356,-1743-Sep-13,1084698.0,L,P,1.767
176,-1742-Mar-08,1084874.0,L,N,0.557
326,-1741-Jan-28,1085200.0,L,P,1.614
176,-1741-Jul-23,1085376.0,L,P,1.348
178,-1740-Jan-17,1085554.0,L,T,2.815
176,-1740-Jul-11,1085730.0,L,T,2.764
178,-1739-Jan-06,1085908.0,L,P,1.483
354,-1739-Dec-26,1086262.0,L,N,0.185
148,-1738-May-22,1086410.0,L,N,0.8109999999999999
530,-1737-Nov-04,1086940.0,L,T,2.6310000000000002
178,-1736-Apr-30,1087118.0,L,T,2.124
354,-1735-Apr-19,1087472.0,L,N,0.725
178,-1735-Oct-14,1087650.0,L,N,0.617
324,-1734-Sep-03,1087974.0,L,P,1.341
178,-1733-Feb-27,1088152.0,L,T,2.6910000000000003
178,-1733-Aug-24,1088330.0,L,T,2.653
176,-1732-Feb-17,1088506.0,L,P,1.6880000000000002
178,-1732-Aug-12,1088684.0,L,P,1.8230000000000002
148,-1731-Jan-07,1088832.0,L,N,0.35700000000000004
30,-1731-Feb-06,1088862.0,L,N,0.36700000000000005
146,-1731-Jul-02,1089008.0,L,N,0.315
178,-1731-Dec-27,1089186.0,L,P,1.58
354,-1730-Dec-16,1089540.0,L,T,2.838
178,-1729-Jun-12,1089718.0,L,T,2.5989999999999998
176,-1729-Dec-05,1089894.0,L,P,1.723
178,-1728-May-31,1090072.0,L,P,1.178
146,-1728-Oct-25,1090218.0,L,N,0.142
532,-1726-Apr-10,1090750.0,L,T,2.3569999999999998
178,-1726-Oct-05,1090928.0,L,T,2.6039999999999996
176,-1725-Mar-30,1091104.0,L,P,1.993
326,-1724-Feb-18,1091430.0,L,N,0.287
30,-1724-Mar-19,1091460.0,L,N,0.6609999999999999
500,-1723-Aug-02,1091960.0,L,P,1.247
180,-1722-Jan-28,1092140.0,L,T,2.86
176,-1722-Jul-23,1092316.0,L,T,2.655
354,-1721-Jul-12,1092670.0,L,P,1.6880000000000002
148,-1721-Dec-07,1092818.0,L,N,0.028999999999999998
354,-1720-Nov-25,1093172.0,L,P,1.329
178,-1719-May-22,1093350.0,L,T,2.028
176,-1719-Nov-15,1093526.0,L,T,2.633
178,-1718-May-11,1093704.0,L,T,2.2840000000000003
176,-1718-Nov-04,1093880.0,L,P,1.8459999999999999
178,-1717-May-01,1094058.0,L,N,0.8809999999999999
148,-1717-Sep-26,1094206.0,L,N,0.08800000000000001
176,-1716-Mar-20,1094382.0,L,P,1.192
356,-1715-Mar-10,1094738.0,L,T,2.594
354,-1714-Feb-27,1095092.0,L,P,1.767
326,-1713-Jan-19,1095418.0,L,N,0.314
354,-1712-Jan-08,1095772.0,L,P,1.547
176,-1712-Jul-02,1095948.0,L,P,1.5959999999999999
178,-1712-Dec-27,1096126.0,L,T,2.815
532,-1710-Jun-12,1096658.0,L,P,1.3130000000000002
146,-1710-Nov-06,1096804.0,L,N,0.149
30,-1710-Dec-05,1096834.0,L,N,0.523
148,-1709-May-02,1096982.0,L,N,0.813
176,-1709-Oct-26,1097158.0,L,P,1.3719999999999999
178,-1708-Apr-20,1097336.0,L,T,2.205
354,-1707-Apr-10,1097690.0,L,T,2.125
178,-1707-Oct-04,1097868.0,L,P,1.825
148,-1706-Mar-01,1098016.0,L,N,0.21100000000000002
206,-1706-Sep-23,1098222.0,L,N,0.502
148,-1705-Feb-18,1098370.0,L,P,1.484
176,-1705-Aug-14,1098546.0,L,P,1.16
532,-1703-Jan-27,1099078.0,L,P,1.564
178,-1703-Jul-23,1099256.0,L,P,1.794
148,-1703-Dec-18,1099404.0,L,N,0.015
28,-1702-Jan-16,1099432.0,L,N,0.252
178,-1702-Jul-12,1099610.0,L,N,0.491
148,-1702-Dec-07,1099758.0,L,P,1.328
178,-1701-Jun-03,1099936.0,L,P,1.88
176,-1701-Nov-26,1100112.0,L,T,2.633
