Calendar Date	Type	Pen. Mag.	Umbral Mag.	Pen. Begins	Alt	Partial Begins	Alt	Total Begins	Alt	Mid-Eclipse	Alt	Total Ends	Alt	Partial Ends	Alt	Pen. Ends	Alt
-1427-Sep-28	N	0.112	-0.856	19:46	+15	-	-	-	-	20:30	+24	-	-	-	-	21:14	+33
-1426-Feb-23	P	2.038	0.964	13:57	-45	15:12	-36	-	-	16:55	-18	-	-	18:38	+03	19:52	+19
-1426-Aug-19	T	2.025	1.037	23:39	+44	0:41	+45	2:03	+40	2:18	+38	2:32	+36	3:55	+24	4:57	+12
-1425-Feb-12	T	2.359	1.331	18:40	+07	19:44	+20	20:51	+35	21:32	+44	22:12	+52	23:19	+67	0:23	+78
-1424-Feb-02	P	1.062	0.083	7:04	+04	8:40	-15	-	-	9:12	-20	-	-	9:43	-25	11:19	-38
-1423-Jun-17	N	0.976	-0.063	23:18	+39	-	-	-	-	1:33	+37	-	-	-	-	3:48	+20
-1423-Dec-13	T	2.199	1.174	1:08	+77	2:12	+64	3:24	+48	3:55	+42	4:25	+35	5:37	+20	6:41	+07
-1421-May-27	P	1.855	0.911	23:03	+41	0:02	+44	-	-	1:33	+40	-	-	3:04	+28	4:02	+18
-1420-May-16	N	0.513	-0.432	17:20	-20	-	-	-	-	18:52	-1	-	-	-	-	20:24	+17
-1420-Oct-10	N	0.553	-0.493	16:11	-29	-	-	-	-	17:55	-7	-	-	-	-	19:39	+16
-1419-Apr-06	P	1.876	0.857	20:46	+29	21:55	+43	-	-	23:30	+58	-	-	1:05	+60	2:14	+53
-1419-Sep-30	P	1.899	0.909	1:58	+51	3:01	+40	-	-	4:33	+22	-	-	6:05	+03	7:08	-10
-1418-Mar-27	T	2.481	1.414	1:00	+65	2:10	+56	3:18	+43	4:04	+34	4:50	+24	5:59	+09	7:08	-6
-1418-Sep-19	T	2.524	1.56	17:18	-18	18:13	-6	19:11	+06	19:57	+16	20:43	+26	21:41	+37	22:35	+46
-1417-Mar-16	P	1.121	0.047	1:53	+62	3:54	+39	-	-	4:21	+33	-	-	4:47	+27	6:49	+01
-1416-Feb-03	N	0.822	-0.193	17:15	-9	-	-	-	-	19:15	+15	-	-	-	-	21:15	+40
-1415-Jan-23	T	2.167	1.196	5:49	+19	6:47	+07	7:55	-6	8:26	-12	8:57	-17	10:05	-28	11:03	-35
-1414-Jan-12	T	2.261	1.293	21:51	+53	22:47	+65	23:51	+79	0:27	+85	1:04	+83	2:08	+70	3:04	+58
-1413-Jun-27	N	0.904	-0.094	16:40	-31	-	-	-	-	18:44	-6	-	-	-	-	20:49	+17
-1413-Nov-23	N	0.746	-0.349	3:08	+48	-	-	-	-	5:13	+21	-	-	-	-	7:18	-4
-1412-May-17	P	1.444	0.504	23:43	+45	0:49	+45	-	-	2:01	+39	-	-	3:13	+28	4:19	+17
-1412-Nov-11	P	1.962	0.858	1:19	+69	2:38	+54	-	-	4:18	+32	-	-	5:58	+11	7:17	-6
-1411-May-07	T	2.801	1.847	16:24	-31	17:19	-19	18:16	-7	19:06	+03	19:56	+13	20:53	+24	21:47	+33
-1411-Oct-31	T	2.563	1.499	2:56	+47	4:02	+33	5:07	+19	5:54	+09	6:41	-1	7:46	-15	8:53	-28
-1410-Apr-27	P	1.445	0.442	5:56	+01	7:13	-16	-	-	8:25	-31	-	-	9:38	-47	10:55	-62
-1409-Mar-17	N	0.585	-0.492	21:51	+45	-	-	-	-	23:44	+64	-	-	-	-	1:37	+64
-1409-Sep-10	N	0.719	-0.244	17:44	-14	-	-	-	-	19:30	+09	-	-	-	-	21:16	+30
-1409-Oct-10	N	0.134	-0.836	4:28	+24	-	-	-	-	5:16	+14	-	-	-	-	6:05	+04
-1408-Mar-05	P	1.937	0.868	21:09	+38	22:24	+53	-	-	0:04	+70	-	-	1:43	+68	2:58	+54
-1407-Feb-23	T	2.432	1.411	2:24	+63	3:27	+49	4:32	+35	5:16	+26	6:00	+16	7:04	+02	8:07	-11
-1407-Aug-19	T	2.427	1.38	16:47	-30	17:54	-16	19:01	-2	19:44	+07	20:28	+15	21:35	+27	22:41	+37
-1406-Feb-12	P	1.12	0.146	15:17	-32	16:44	-17	-	-	17:26	-10	-	-	18:07	-1	19:35	+17
-1406-Aug-08	N	1.059	-0.022	19:44	+06	-	-	-	-	22:09	+30	-	-	-	-	0:34	+42
-1405-Jan-03	N	0.952	-0.024	21:41	+51	-	-	-	-	23:42	+77	-	-	-	-	1:42	+75
-1404-Jun-17	T	2.302	1.32	14:56	-53	15:56	-41	17:01	-27	17:40	-19	18:20	-11	19:25	+02	20:25	+13
-1404-Dec-12	T	2.286	1.202	15:24	-24	16:35	-12	17:50	+02	18:24	+09	18:58	+16	20:13	+32	21:24	+47
-1403-Dec-01	N	1.032	-0.075	15:43	-22	-	-	-	-	18:08	+06	-	-	-	-	20:32	+37
-1402-Apr-28	N	0.4	-0.566	17:37	-15	-	-	-	-	19:00	+03	-	-	-	-	20:24	+20
-1402-May-28	N	0.646	-0.301	0:37	+43	-	-	-	-	2:18	+34	-	-	-	-	4:00	+18
-1402-Oct-22	N	0.547	-0.498	0:37	+67	-	-	-	-	2:21	+54	-	-	-	-	4:04	+33
-1401-Apr-18	P	1.736	0.716	3:51	+30	5:03	+15	-	-	6:32	-4	-	-	8:02	-24	9:14	-39
-1400-Sep-30	T	2.555	1.589	1:59	+51	2:54	+42	3:51	+31	4:38	+21	5:24	+12	6:22	-1	7:17	-12
