date	type	umb_mag	par_start_time	par_start_alt	mid_ecl_time	mid_ecl_alt	par_end_time	par_end_alt	vis00	vis05	vis10	direction	ynum	pp_range	astro_date	mnum	dnum	astro_jd	astro_mjd
-210-Oct-13	T	1.428	01:04	-49	02:59	-23	04:54	4	True	False	False	west	-210	True	-00210-10-13	10	13	1644644.5	-755356.0
-203-Nov-25	T	1.401	02:31	-25	04:15	-3	06:00	21	True	True	True	west	-203	True	-00203-11-25	11	25	1647244.5	-752756.0
-182-Oct-04	P	0.681	04:43	2	06:12	23	07:42	45	True	False	False	west	-182	True	-00182-10-04	10	4	1654861.5	-745139.0
-180-Sep-12	P	0.396	03:10	-25	04:15	-9	05:20	6	True	True	False	west	-180	True	-00180-09-12	9	12	1655570.5	-744430.0
-178-Jan-27	P	0.963	04:58	2	06:37	24	08:16	47	True	False	False	west	-178	True	-00178-01-27	1	27	1656072.5	-743928.0
-177-Jul-13	T	1.107	01:44	-46	03:32	-22	05:20	2	True	False	False	west	-177	True	-00177-07-13	7	13	1656604.5	-743396.0
-171-Sep-03	P	0.936	02:27	-36	03:58	-15	05:29	7	True	True	False	west	-171	True	-00171-09-03	9	3	1658848.5	-741152.0
-168-Dec-27	T	1.087	05:45	16	07:21	37	08:57	58	True	True	True	west	-168	True	-00168-12-27	12	27	1660059.5	-739941.0
-157-Jun-02	P	0.212	04:01	-13	04:52	-2	05:43	10	True	True	False	west	-157	True	-00157-06-02	6	2	1663868.5	-736132.0
-156-Nov-14	T	1.492	00:54	-46	02:50	-22	04:46	4	True	False	False	west	-156	True	-00156-11-14	11	14	1664399.5	-735601.0
-149-Dec-28	T	1.404	04:48	3	06:33	26	08:19	50	True	False	False	west	-149	True	-00149-12-28	12	28	1666999.5	-733001.0
-145-Oct-15	T	1.712	04:59	7	06:47	33	08:36	59	True	True	False	west	-145	True	-00145-10-15	10	15	1668386.5	-731614.0
-128-Nov-05	P	0.62	05:14	12	06:40	32	08:05	52	True	True	True	west	-128	True	-00128-11-05	11	5	1674617.5	-725383.0
-126-Oct-15	P	0.517	04:36	1	05:49	18	07:02	35	True	False	False	west	-126	True	-00126-10-15	10	15	1675326.5	-724674.0
-119-Jun-02	T	1.013	02:05	-39	03:40	-18	05:14	2	True	False	False	west	-119	True	-00119-06-02	6	2	1677748.5	-722252.0
-112-Jul-13	T	1.427	01:45	-45	03:33	-22	05:21	2	True	False	False	west	-112	True	-00112-07-13	7	13	1680346.5	-719654.0
-103-Dec-29	P	0.851	01:45	-37	03:23	-17	05:01	4	True	False	False	west	-103	True	-00103-12-29	12	29	1683802.5	-716198.0
-102-Dec-17	T	1.525	01:07	-42	03:03	-20	05:00	5	True	False	False	west	-102	True	-00102-12-17	12	17	1684155.5	-715845.0
-101-Dec-07	P	0.311	02:27	-26	03:31	-13	04:35	1	True	False	False	west	-101	True	-00101-12-07	12	7	1684510.5	-715490.0
-79-Apr-11	P	0.596	05:33	10	06:56	29	08:19	48	True	True	False	west	-79	True	-00079-04-11	4	11	1692305.5	-707695.0
-73-Jun-04	T	1.42	05:10	3	07:00	26	08:49	47	True	False	False	west	-73	True	-00073-06-04	6	4	1694550.5	-705450.0
-52-Oct-07	P	0.543	02:37	-28	03:58	-9	05:20	10	True	True	False	west	-52	True	-00052-10-07	10	7	1702346.5	-697654.0
-46-Jan-08	P	0.358	03:15	-19	04:23	-5	05:30	10	True	True	False	west	-46	True	-00046-01-08	1	8	1704265.5	-695735.0
-44-Nov-07	T	1.796	05:05	10	06:54	35	08:42	61	True	True	False	west	-44	True	-00044-11-07	11	7	1705299.5	-694701.0
-25-May-14	T	1.02	02:29	-34	04:09	-11	05:49	11	True	True	True	west	-25	True	-00025-05-14	5	14	1712061.5	-687939.0
-19-Jul-06	P	0.972	02:05	-41	03:45	-19	05:25	3	True	False	False	west	-19	True	-00019-07-06	7	6	1714306.5	-685694.0
