epoch	tara_name	decl	geo_lat	rise	lat	lon	ra	city_lat°	city_lat	city	year	dt	jd
-2900	vaśiṣṭha	79.49	10.51	16.16	56	96.84	111.42	9.92°	9.92	Madurai	-2901	-2901-12-24T23:12:29	661825.25
-2900	arundhatī 	79.63	10.37	16.05	56.18	97.02	112.21	9.92°	9.92	Madurai	-2901	-2901-12-24T23:12:29	661825.25
-2850	dhruva	89.61	0.39	-1	66.12	89.11	-20.45	9.92°	9.92	Madurai	-2851	-2851-12-24T23:12:29	680088.25
-2850	mārīca	79.31	10.69	23.48	71.07	116.08	-140.23	9.92°	9.92	Madurai	-2851	-2851-12-24T23:12:29	680088.25
-2850	mahendra	74.57	15.43	2.16	74.84	129.38	-128.56	9.92°	9.92	Madurai	-2851	-2851-12-24T23:12:29	680088.25
-2850	agni	74.11	15.89	3.25	78.52	124.68	-114.45	9.92°	9.92	Madurai	-2851	-2851-12-24T23:12:29	680088.25
-2850	vaśiṣṭha	79.39	10.61	16.34	56.01	97.54	113.47	9.92°	9.92	Madurai	-2851	-2851-12-24T23:12:29	680088.25
-2850	arundhatī 	79.53	10.47	16.25	56.19	97.71	114.27	9.92°	9.92	Madurai	-2851	-2851-12-24T23:12:29	680088.25
-2800	dhruva	89.85	0.15	-1	66.13	89.8	-57.79	9.92°	9.92	Madurai	-2801	-2801-12-25T23:12:29	698351.25
-2800	mārīca	79.09	10.91	23.58	71.07	116.78	-140.55	9.92°	9.92	Madurai	-2801	-2801-12-25T23:12:29	698351.25
-2800	mahendra	74.4	15.6	2.12	74.84	130.06	-128.75	9.92°	9.92	Madurai	-2801	-2801-12-25T23:12:29	698351.25
-2800	agni	74	16	3.2	78.52	125.39	-114.73	9.92°	9.92	Madurai	-2801	-2801-12-25T23:12:29	698351.25
-2800	vaśiṣṭha	79.27	10.73	16.52	56.02	98.23	115.45	9.92°	9.92	Madurai	-2801	-2801-12-25T23:12:29	698351.25
-2800	arundhatī 	79.41	10.59	16.45	56.19	98.4	116.25	9.92°	9.92	Madurai	-2801	-2801-12-25T23:12:29	698351.25
-2750	dhruva	89.76	0.24	-1	66.13	90.5	-148.06	9.92°	9.92	Madurai	-2751	-2751-12-24T23:12:29	716613.25
-2750	mārīca	78.87	11.13	23.73	71.07	117.48	-140.87	9.92°	9.92	Madurai	-2751	-2751-12-24T23:12:29	716613.25
-2750	mahendra	74.23	15.77	2.15	74.83	130.75	-128.92	9.92°	9.92	Madurai	-2751	-2751-12-24T23:12:29	716613.25
-2750	agni	73.88	16.12	3.21	78.51	126.1	-115	9.92°	9.92	Madurai	-2751	-2751-12-24T23:12:29	716613.25
-2750	vaśiṣṭha	79.14	10.86	16.77	56.02	98.93	117.42	9.92°	9.92	Madurai	-2751	-2751-12-24T23:12:29	716613.25
-2750	arundhatī 	79.27	10.73	16.71	56.19	99.1	118.23	9.92°	9.92	Madurai	-2751	-2751-12-24T23:12:29	716613.25
-2700	dhruva	89.5	0.5	-1	66.14	91.2	-164.65	9.92°	9.92	Madurai	-2701	-2701-12-25T23:12:29	734876.25
-2700	mārīca	78.65	11.35	23.8	71.08	118.2	-141.12	9.92°	9.92	Madurai	-2701	-2701-12-25T23:12:29	734876.25
-2700	mahendra	74.05	15.95	2.12	74.83	131.45	-129.07	9.92°	9.92	Madurai	-2701	-2701-12-25T23:12:29	734876.25
-2700	agni	73.76	16.24	3.16	78.52	126.83	-115.26	9.92°	9.92	Madurai	-2701	-2701-12-25T23:12:29	734876.25
-2700	vaśiṣṭha	79.01	10.99	16.94	56.03	99.63	119.36	9.92°	9.92	Madurai	-2701	-2701-12-25T23:12:29	734876.25
-2700	arundhatī 	79.14	10.86	16.9	56.2	99.8	120.18	9.92°	9.92	Madurai	-2701	-2701-12-25T23:12:29	734876.25
-2650	dhruva	89.22	0.78	-1	66.14	91.89	-169.71	9.92°	9.92	Madurai	-2651	-2651-12-24T23:12:29	753138.25
-2650	mārīca	78.43	11.57	23.92	71.08	118.89	-141.38	9.92°	9.92	Madurai	-2651	-2651-12-24T23:12:29	753138.25
-2650	mahendra	73.88	16.12	2.15	74.83	132.13	-129.22	9.92°	9.92	Madurai	-2651	-2651-12-24T23:12:29	753138.25
-2650	agni	73.64	16.36	3.18	78.52	127.53	-115.5	9.92°	9.92	Madurai	-2651	-2651-12-24T23:12:29	753138.25
-2650	vaśiṣṭha	78.87	11.13	17.17	56.03	100.31	121.22	9.92°	9.92	Madurai	-2651	-2651-12-24T23:12:29	753138.25
-2650	arundhatī 	79	11	17.14	56.21	100.49	122.05	9.92°	9.92	Madurai	-2651	-2651-12-24T23:12:29	753138.25
-2600	dhruva	88.94	1.06	-1	66.14	92.59	-172.17	9.92°	9.92	Madurai	-2601	-2601-12-25T23:12:29	771401.25
-2600	mārīca	78.21	11.79	23.96	71.08	119.59	-141.62	9.92°	9.92	Madurai	-2601	-2601-12-25T23:12:29	771401.25
-2600	mahendra	73.71	16.29	2.12	74.82	132.81	-129.37	9.92°	9.92	Madurai	-2601	-2601-12-25T23:12:29	771401.25
-2600	agni	73.52	16.48	3.12	78.52	128.24	-115.75	9.92°	9.92	Madurai	-2601	-2601-12-25T23:12:29	771401.25
-2600	vaśiṣṭha	78.72	11.28	17.34	56.03	101.01	123.07	9.92°	9.92	Madurai	-2601	-2601-12-25T23:12:29	771401.25
-2600	arundhatī 	78.84	11.16	17.32	56.21	101.19	123.89	9.92°	9.92	Madurai	-2601	-2601-12-25T23:12:29	771401.25
-2550	dhruva	88.66	1.34	-1	66.15	93.29	-173.16	9.92°	9.92	Madurai	-2551	-2551-12-25T23:12:29	789664.25
-2550	mārīca	77.98	12.02	0	71.08	120.31	-141.82	9.92°	9.92	Madurai	-2551	-2551-12-25T23:12:29	789664.25
-2550	mahendra	73.53	16.47	2.08	74.82	133.51	-129.49	9.92°	9.92	Madurai	-2551	-2551-12-25T23:12:29	789664.25
-2550	agni	73.4	16.6	3.07	78.52	128.97	-115.98	9.92°	9.92	Madurai	-2551	-2551-12-25T23:12:29	789664.25
-2550	vaśiṣṭha	78.56	11.44	17.5	56.04	101.72	124.89	9.92°	9.92	Madurai	-2551	-2551-12-25T23:12:29	789664.25
-2550	arundhatī 	78.68	11.32	17.48	56.22	101.89	125.72	9.92°	9.92	Madurai	-2551	-2551-12-25T23:12:29	789664.25
-2500	dhruva	88.38	1.62	-1	66.15	93.99	-173.77	9.92°	9.92	Madurai	-2501	-2501-12-25T23:12:29	807926.25
-2500	mārīca	77.76	12.24	0.1	71.08	121.01	-142	9.92°	9.92	Madurai	-2501	-2501-12-25T23:12:29	807926.25
-2500	mahendra	73.36	16.64	2.12	74.82	134.2	-129.6	9.92°	9.92	Madurai	-2501	-2501-12-25T23:12:29	807926.25
-2500	agni	73.27	16.73	3.09	78.52	129.68	-116.2	9.92°	9.92	Madurai	-2501	-2501-12-25T23:12:29	807926.25
-2500	vaśiṣṭha	78.4	11.6	17.71	56.05	102.4	126.63	9.92°	9.92	Madurai	-2501	-2501-12-25T23:12:29	807926.25
-2500	arundhatī 	78.51	11.49	17.7	56.22	102.58	127.46	9.92°	9.92	Madurai	-2501	-2501-12-25T23:12:29	807926.25
-2450	dhruva	88.1	1.9	-1	66.15	94.68	-174.27	9.92°	9.92	Madurai	-2451	-2451-12-25T23:12:29	826189.25
-2450	mārīca	77.54	12.46	0.12	71.08	121.71	-142.19	9.92°	9.92	Madurai	-2451	-2451-12-25T23:12:29	826189.25
-2450	mahendra	73.19	16.81	2.08	74.82	134.88	-129.72	9.92°	9.92	Madurai	-2451	-2451-12-25T23:12:29	826189.25
-2450	agni	73.15	16.85	3.04	78.52	130.39	-116.42	9.92°	9.92	Madurai	-2451	-2451-12-25T23:12:29	826189.25
-2450	vaśiṣṭha	78.23	11.77	17.86	56.05	103.1	128.34	9.92°	9.92	Madurai	-2451	-2451-12-25T23:12:29	826189.25
-2450	arundhatī 	78.34	11.66	17.86	56.22	103.28	129.17	9.92°	9.92	Madurai	-2451	-2451-12-25T23:12:29	826189.25
-2400	dhruva	87.81	2.19	-1	66.15	95.39	-174.4	9.92°	9.92	Madurai	-2401	-2401-12-26T23:12:29	844452.25
