date	hhmm	dist	lon	lat
1985-Oct-06	00:00	20.80365148	166.3964201	1.2064897
1985-Oct-11	00:00	20.61437919	169.5464127	1.2075378
1985-Oct-16	00:00	20.41126790	172.6929947	1.2073980
1985-Oct-21	00:00	20.19458263	175.8357236	1.2061263
1985-Oct-26	00:00	19.96483885	178.9740732	1.2037438
1985-Oct-31	00:00	19.72236493	182.1088867	1.2001774
1985-Nov-05	00:00	19.46727867	185.2408529	1.1953178
1985-Nov-10	00:00	19.19960620	188.3694962	1.1890806
1985-Nov-15	00:00	18.91949952	191.4941032	1.1814614
1985-Nov-20	00:00	18.62753387	194.6134470	1.1724931
1985-Nov-25	00:00	18.32439236	197.7271713	1.1621014
1985-Nov-30	00:00	18.01053528	200.8360328	1.1501337
1985-Dec-05	00:00	17.68623926	203.9399120	1.1364347
1985-Dec-10	00:00	17.35171831	207.0379573	1.1209113
1985-Dec-15	00:00	17.00741422	210.1289150	1.1035550
1985-Dec-20	00:00	16.65416928	213.2108653	1.0843037
1985-Dec-25	00:00	16.29279165	216.2838049	1.0629586
1985-Dec-30	00:00	15.92386116	219.3478327	1.0392781
1986-Jan-04	00:00	15.54777499	222.4021041	1.0130562
1986-Jan-09	00:00	15.16491654	225.4453794	0.9841823
1986-Jan-14	00:00	14.77599396	228.4750668	0.9525724
1986-Jan-19	00:00	14.38200572	231.4892054	0.9179926
1986-Jan-24	00:00	13.98381480	234.4874748	0.8800903
1986-Jan-29	00:00	13.58205092	237.4689577	0.8385093
