year	event	date	sun_lon	obj_lon	sun_lon_dms	obj_lon_dms	obj_rise_set	sun_rise_set	delta_rise_set	age	mag	sun_alt	obj_lat	az_diff	lon_diff	sun_sz	obj_az
-1252	evening_first_visibility	-1252-10-16	192.65	205.35	192° 39'	205° 21'	18:30	18:06	0:24h	50d 00h	-3.4	-6° 02'	0° 08'	-10° 02'	12° 42'	87° 36'	77° 34'
-1252	morning_last_visibility	-1252-07-27	111.57	103.18	111° 34'	103° 11'	4:56	5:24	-0:28h	-31d 14h	-3.4	-6° 12'	0° 59'	2° 53'	-8° 22'	240° 02'	242° 55'
-1251	evening_last_visibility	-1251-06-11	67.73	77.68	67° 44'	77° 41'	19:39	19:11	0:28h	-6d 19h	-3.3	-6° 15'	-2° 17'	-6° 28'	9° 57'	119° 51'	113° 23'
-1251	morning_first_visibility	-1251-06-28	83.38	68.32	83° 23'	68° 19'	4:42	5:12	-0:30h	9d 14h	-3.5	-6° 28'	-5° 25'	13° 46'	-15° 03'	237° 51'	251° 37'
-1250	evening_first_visibility	-1250-05-10	37.03	45.03	37° 02'	45° 02'	19:18	18:52	0:26h	28d 22h	-3.4	-6° 10'	0° 13'	-1° 41'	8° 00'	110° 11'	108° 31'
-1250	morning_last_visibility	-1250-02-20	320.33	307.22	320° 20'	307° 13'	6:47	7:12	-0:25h	-50d 14h	-3.3	-6° 07'	-1° 17'	10° 37'	-13° 07'	283° 45'	294° 22'
-1249	evening_first_visibility	-1249-12-24	262.25	272.52	262° 15'	272° 31'	17:58	17:30	0:27h	43d 05h	-3.4	-6° 12'	-1° 15'	-6° 42'	10° 16'	66° 16'	59° 34'
-1249	evening_last_visibility	-1249-01-23	292.77	298.43	292° 46'	298° 26'	18:15	17:48	0:26h	-3d 21h	-3.3	-6° 12'	7° 41'	5° 16'	5° 41'	68° 16'	73° 32'
-1249	morning_first_visibility	-1249-01-29	298.28	294.97	298° 17'	294° 58'	6:59	7:26	-0:27h	1d 16h	-3.3	-6° 12'	8° 13'	-3° 57'	-3° 19'	290° 32'	286° 35'
-1249	morning_last_visibility	-1249-10-10	185.30	177.55	185° 18'	177° 33'	5:52	6:16	-0:24h	-32d 07h	-3.4	-6° 05'	1° 15'	-0° 25'	-7° 45'	268° 57'	268° 32'
