Epoch	City	Location	GeoLat	GetLat°	lat	lon	ra	decl	rise-hr	jd	date	year
-1850	Madurai	Madurai(9.92°)	9.92	9.92°	66.2	88.41	-10.45	89.35	-5	1045340.25	-1851-12-26T22:59:14	-1851
-1850	Ujjain	Ujjain(23.18°)	23.18	23.18°	66.2	88.41	-10.45	89.35	-5	1045340.25	-1851-12-26T22:59:14	-1851
-1850	Kurukshetra	Kurukshetra(29.97°)	29.97	29.97°	66.2	88.41	-10.45	89.35	-5	1045340.25	-1851-12-26T22:59:14	-1851
-1850	Srinagar	Srinagar(34.09°)	34.09	34.09°	66.2	88.41	-10.45	89.35	-5	1045340.25	-1851-12-26T22:59:14	-1851
-1800	Madurai	Madurai(9.92°)	9.92	9.92°	66.21	88.41	-10.37	89.35	-5	1063603.25	-1801-12-27T22:59:14	-1801
-1800	Ujjain	Ujjain(23.18°)	23.18	23.18°	66.21	88.41	-10.37	89.35	-5	1063603.25	-1801-12-27T22:59:14	-1801
-1800	Kurukshetra	Kurukshetra(29.97°)	29.97	29.97°	66.21	88.41	-10.37	89.35	-5	1063603.25	-1801-12-27T22:59:14	-1801
-1800	Srinagar	Srinagar(34.09°)	34.09	34.09°	66.21	88.41	-10.37	89.35	-5	1063603.25	-1801-12-27T22:59:14	-1801
-1750	Madurai	Madurai(9.92°)	9.92	9.92°	66.21	88.41	-10.3	89.35	-5	1081866.25	-1751-12-27T22:59:14	-1751
-1750	Ujjain	Ujjain(23.18°)	23.18	23.18°	66.21	88.41	-10.3	89.35	-5	1081866.25	-1751-12-27T22:59:14	-1751
-1750	Kurukshetra	Kurukshetra(29.97°)	29.97	29.97°	66.21	88.41	-10.3	89.35	-5	1081866.25	-1751-12-27T22:59:14	-1751
-1750	Srinagar	Srinagar(34.09°)	34.09	34.09°	66.21	88.41	-10.3	89.35	-5	1081866.25	-1751-12-27T22:59:14	-1751
