jd	date	yr	season	rtu	eqnx	sun_lon	sun_naks	moon_lon	moon_naks	moon_phase	moon_sun_diff	sun_न	moon_न	kv_pair	moon_lon_adj	sun_lon_adj	jd_diff	moon_lon_adj_packed	yr_grp	kv_adj
879622.55	-2304-03-22	-2304	1	R1-vasanta	True	0.29	N03-Kri/* 23 Tau	179.94	N17-Anu/δ Sco	1	179	N03-Kri	N17-Anu	False	179.94	0.29	915.10	44.94	0	
880537.65	-2302-09-23	-2302	4	R4-śarat	True	180.23	N17-Anu/δ Sco	0.55	N03-Kri/η Tau	1	180	N17-Anu	N03-Kri	False	0.55	180.23	176.82	0.55	0	
880714.47	-2301-03-18	-2301	1	R1-vasanta	False	356.66	N03-Kri/* 17 Tau	176.28	N17-Anu/δ Sco	1	-180	N03-Kri	N17-Anu	False	176.28	-3.34	915.80	41.28	0	
881630.27	-2299-09-20	-2299	4	R4-śarat	True	177.06	N17-Anu/δ Sco	357.02	N03-Kri/* 17 Tau	1	179	N17-Anu	N03-Kri	False	-2.98	177.06	915.80	-2.98	0	
882546.07	-2296-03-24	-2296	1	R1-vasanta	True	1.81	N03-Kri/* 27 Tau	181.81	N17-Anu/δ Sco	1	180	N03-Kri	N17-Anu	False	181.81	1.81	914.83	46.81	0	
883460.90	-2294-09-25	-2294	4	R4-śarat	True	181.55	N17-Anu/δ Sco	1.20	N03-Kri/* 27 Tau	1	-180	N17-Anu	N03-Kri	False	1.20	181.55	177.34	1.20	0	
883638.24	-2293-03-21	-2293	1	R1-vasanta	True	358.41	N02-Bha/* 39 Ari	178.43	N17-Anu/δ Sco	1	-179	N02-Bha	N17-Anu	False	178.43	-1.59	915.77	43.43	0	
884554.01	-2291-09-22	-2291	4	R4-śarat	True	178.89	N17-Anu/δ Sco	359.22	N02-Bha/* 39 Ari	1	180	N17-Anu	N02-Bha	False	-0.78	178.89	915.44	-0.78	0	
885469.45	-2288-03-25	-2288	1	R1-vasanta	False	3.19	N03-Kri/* 27 Tau	183.36	N17-Anu/δ Sco	1	180	N03-Kri	N17-Anu	False	183.36	3.19	914.79	48.36	0	
886384.24	-2286-09-26	-2286	4	R4-śarat	True	182.98	N17-Anu/δ Sco	2.97	N03-Kri/* 27 Tau	1	-180	N17-Anu	N03-Kri	False	2.97	182.98	177.82	2.97	0	
886562.06	-2285-03-23	-2285	1	R1-vasanta	True	0.22	N03-Kri/* 17 Tau	180.64	N17-Anu/δ Sco	1	180	N03-Kri	N17-Anu	False	180.64	0.22	915.47	45.64	0	
887477.53	-2283-09-24	-2283	4	R4-śarat	True	180.49	N17-Anu/δ Sco	0.36	N03-Kri/* 19 Tau	1	179	N17-Anu	N03-Kri	False	0.36	180.49	176.60	0.36	0	
887654.13	-2282-03-19	-2282	1	R1-vasanta	False	356.73	N02-Bha/* 39 Ari	176.76	N17-Anu/δ Sco	1	-179	N02-Bha	N17-Anu	False	176.76	-3.27	915.39	41.76	0	
888569.52	-2280-09-20	-2280	4	R4-śarat	False	176.69	N17-Anu/δ Sco	356.11	N02-Bha/* 39 Ari	1	179	N17-Anu	N02-Bha	False	-3.89	176.69	916.28	-3.89	0	
889485.80	-2277-03-25	-2277	1	R1-vasanta	True	1.94	N03-Kri/* 27 Tau	182.63	N17-Anu/δ Sco	1	180	N03-Kri	N17-Anu	False	182.63	1.94	915.13	47.63	0	
890400.93	-2275-09-25	-2275	4	R4-śarat	True	181.98	N17-Anu/δ Sco	1.81	N03-Kri/* 27 Tau	1	-180	N17-Anu	N03-Kri	False	1.81	181.98	176.68	1.81	0	
890577.61	-2274-03-21	-2274	1	R1-vasanta	True	358.20	N02-Bha/* 39 Ari	177.74	N17-Anu/δ Sco	1	-180	N02-Bha	N17-Anu	False	177.74	-1.80	915.75	42.74	0	
891493.36	-2272-09-21	-2272	4	R4-śarat	True	178.62	N17-Anu/δ Sco	358.38	N02-Bha/* 39 Ari	1	179	N17-Anu	N02-Bha	False	-1.62	178.62	915.96	-1.62	0	
892409.32	-2269-03-26	-2269	1	R1-vasanta	False	3.45	N03-Kri/* 27 Tau	183.41	N17-Anu/δ Sco	1	179	N03-Kri	N17-Anu	False	183.41	3.45	914.93	48.41	0	
893324.25	-2267-09-26	-2267	4	R4-śarat	False	183.39	N17-Anu/δ Sco	3.39	N03-Kri/* 27 Tau	1	-180	N17-Anu	N03-Kri	False	3.39	183.39	177.06	3.39	0	
893501.31	-2266-03-22	-2266	1	R1-vasanta	True	359.89	N02-Bha/* 39 Ari	179.76	N17-Anu/δ Sco	1	-180	N02-Bha	N17-Anu	False	179.76	-0.11	915.85	44.76	0	
894417.16	-2264-09-23	-2264	4	R4-śarat	True	180.51	N17-Anu/δ Sco	0.69	N03-Kri/* 20 Tau	1	180	N17-Anu	N03-Kri	False	0.69	180.51	176.88	0.69	0	
894594.04	-2263-03-19	-2263	1	R1-vasanta	True	357.03	N02-Bha/* 39 Ari	176.83	N17-Anu/δ Sco	1	-180	N02-Bha	N17-Anu	False	176.83	-2.97	915.02	41.83	0	
895509.06	-2261-09-20	-2261	4	R4-śarat	False	176.61	N17-Anu/δ Sco	356.81	N02-Bha/* 39 Ari	1	180	N17-Anu	N02-Bha	False	-3.19	176.61	916.07	-3.19	0	
896425.13	-2258-03-24	-2258	1	R1-vasanta	True	1.69	N03-Kri/* 27 Tau	181.97	N17-Anu/δ Sco	1	180	N03-Kri	N17-Anu	False	181.97	1.69	915.59	46.97	0	
