jd,elati_Moon,elong_Moon,elong_Sun,r_Moon,sun_moon_angle,naks_Moon,naks_Sun
1355848.833,3.1519999999999997,326.22,312.471,60.317,346.251,N27-UBha,N26-PBha
1355849.0,2.998,328.42400000000004,312.63599999999997,60.191,344.212,N27-UBha,N26-PBha
1355849.167,2.84,330.634,312.801,60.066,342.167,N27-UBha,N26-PBha
1355849.333,2.677,332.849,312.967,59.94,340.11800000000005,N27-UBha,N26-PBha
1355849.5,2.509,335.07,313.132,59.81399999999999,338.06199999999995,N27-UBha,N26-PBha
1355849.667,2.3369999999999997,337.296,313.297,59.68899999999999,336.001,N27-UBha,N26-PBha
1355849.833,2.161,339.526,313.462,59.56399999999999,333.936,N28-Rev,N26-PBha
1355850.0,1.982,341.76199999999994,313.627,59.44,331.865,N28-Rev,N26-PBha
1355850.167,1.7990000000000002,344.00199999999995,313.79200000000003,59.317,329.79,N28-Rev,N26-PBha
1355850.333,1.6119999999999999,346.24699999999996,313.95799999999997,59.195,327.711,N28-Rev,N26-PBha
1355850.5,1.423,348.496,314.123,59.075,325.627,N28-Rev,N26-PBha
1355850.667,1.23,350.75,314.288,58.956,323.538,N28-Rev,N26-PBha
1355850.833,1.036,353.009,314.453,58.839,321.444,N01-Ash,N26-PBha
1355851.0,0.838,355.27099999999996,314.618,58.724,319.347,N01-Ash,N26-PBha
1355851.167,0.639,357.538,314.783,58.611000000000004,317.245,N01-Ash,N26-PBha
1355851.333,0.439,359.80800000000005,314.948,58.5,315.14,N01-Ash,N26-PBha
1355851.5,0.23600000000000002,2.083,315.113,58.391999999999996,313.03,N01-Ash,N26-PBha
1355851.667,0.033,4.362,315.278,58.286,310.916,N01-Ash,N26-PBha
1355851.833,-0.171,6.645,315.443,58.184,308.798,N02-Bha,N26-PBha
1355852.0,-0.375,8.931000000000001,315.608,58.083999999999996,306.677,N02-Bha,N26-PBha
1355852.167,-0.58,11.222000000000001,315.77299999999997,57.986999999999995,304.551,N02-Bha,N26-PBha
1355852.333,-0.784,13.515999999999998,315.938,57.894,302.422,N03-Kri,N26-PBha
1355852.5,-0.988,15.815,316.103,57.805,300.288,N03-Kri,N26-PBha
1355852.667,-1.1909999999999998,18.117,316.268,57.718999999999994,298.151,N03-Kri,N26-PBha
1355852.833,-1.392,20.423,316.432,57.637,296.009,N03-Kri,N26-PBha
1355853.0,-1.5919999999999999,22.732,316.597,57.56,293.865,N03-Kri,N26-PBha
1355853.167,-1.79,25.046,316.762,57.486000000000004,291.716,N04-Roh,N26-PBha
1355853.333,-1.985,27.364,316.927,57.417,289.563,N04-Roh,N26-PBha
1355853.5,-2.177,29.685,317.092,57.352,287.407,N04-Roh,N26-PBha
1355853.667,-2.367,32.01,317.256,57.292,285.246,N04-Roh,N26-PBha
1355853.833,-2.553,34.339,317.421,57.236000000000004,283.082,N04-Roh,N26-PBha
1355854.0,-2.735,36.672,317.586,57.18600000000001,280.914,N04-Roh,N26-PBha
1355854.167,-2.9130000000000003,39.009,317.751,57.14,278.742,N04-Roh,N26-PBha
1355854.333,-3.0860000000000003,41.349,317.915,57.099,276.566,N04-Roh,N26-PBha
1355854.5,-3.2539999999999996,43.693000000000005,318.08,57.063,274.387,N04-Roh,N26-PBha
1355854.667,-3.417,46.041000000000004,318.245,57.032,272.204,N05-Mrg,N26-PBha
1355854.833,-3.575,48.393,318.409,57.007,270.01599999999996,N05-Mrg,N26-PBha
1355855.0,-3.7260000000000004,50.748000000000005,318.574,56.986999999999995,267.82599999999996,N05-Mrg,N26-PBha
1355855.167,-3.8710000000000004,53.106,318.73900000000003,56.972,265.633,N05-Mrg,N26-PBha
1355855.333,-4.0089999999999995,55.468,318.903,56.961999999999996,263.435,N05-Mrg,N26-PBha
1355855.5,-4.141,57.833,319.068,56.958,261.235,N05-Mrg,N27-UBha
1355855.667,-4.265,60.202,319.233,56.958999999999996,259.031,N06-Ard,N27-UBha
1355855.833,-4.382,62.573,319.397,56.966,256.824,N06-Ard,N27-UBha
1355856.0,-4.492,64.947,319.562,56.978,254.615,N07-Pun,N27-UBha
1355856.167,-4.593,67.324,319.726,56.995,252.40200000000002,N07-Pun,N27-UBha
1355856.333,-4.686,69.703,319.89099999999996,57.016999999999996,250.188,N07-Pun,N27-UBha
1355856.5,-4.771,72.085,320.055,57.045,247.97,N07-Pun,N27-UBha
1355856.667,-4.848,74.468,320.22,57.078,245.752,N07-Pun,N27-UBha
1355856.833,-4.916,76.85300000000001,320.384,57.115,243.53099999999998,N07-Pun,N27-UBha
1355857.0,-4.975,79.24,320.54900000000004,57.158,241.30900000000003,N07-Pun,N27-UBha
1355857.167,-5.025,81.627,320.71299999999997,57.206,239.08599999999998,N07-Pun,N27-UBha
1355857.333,-5.066,84.016,320.877,57.25899999999999,236.861,N07-Pun,N27-UBha
1355857.5,-5.099,86.404,321.04200000000003,57.317,234.638,N08-Pus,N27-UBha
1355857.667,-5.122000000000001,88.79299999999999,321.20599999999996,57.379,232.41299999999998,N08-Pus,N27-UBha
1355857.833,-5.136,91.182,321.371,57.445,230.18900000000002,N08-Pus,N27-UBha
1355858.0,-5.141,93.57,321.535,57.516999999999996,227.965,N08-Pus,N27-UBha
1355858.167,-5.1370000000000005,95.95700000000001,321.699,57.592,225.74200000000002,N08-Pus,N27-UBha
1355858.333,-5.124,98.34299999999999,321.86400000000003,57.67100000000001,223.521,N09-Asl,N27-UBha
1355858.5,-5.103,100.727,322.028,57.755,221.301,N09-Asl,N27-UBha
1355858.667,-5.072,103.109,322.192,57.842,219.083,N09-Asl,N27-UBha
1355858.833,-5.033,105.488,322.356,57.933,216.868,N10-Mag,N27-UBha
1355859.0,-4.985,107.865,322.52099999999996,58.028,214.65599999999998,N10-Mag,N27-UBha
1355859.167,-4.928,110.238,322.685,58.125,212.447,N10-Mag,N27-UBha
1355859.333,-4.864,112.60700000000001,322.849,58.226000000000006,210.24200000000002,N10-Mag,N27-UBha
1355859.5,-4.791,114.97200000000001,323.013,58.33,208.041,N10-Mag,N27-UBha
1355859.667,-4.71,117.33200000000001,323.177,58.437,205.845,N11-PPal,N27-UBha
1355859.833,-4.622,119.68700000000001,323.342,58.54600000000001,203.655,N11-PPal,N27-UBha
1355860.0,-4.526,122.038,323.506,58.658,201.468,N11-PPal,N27-UBha
1355860.167,-4.423,124.382,323.67,58.772,199.28799999999998,N11-PPal,N27-UBha
1355860.333,-4.312,126.72,323.834,58.888000000000005,197.114,N11-PPal,N27-UBha
1355860.5,-4.195,129.05200000000002,323.998,59.006,194.946,N11-PPal,N27-UBha
1355860.667,-4.072,131.377,324.16200000000003,59.125,192.785,N12-UPal,N27-UBha
1355860.833,-3.9419999999999997,133.694,324.32599999999996,59.246,190.632,N12-UPal,N27-UBha
1355861.0,-3.807,136.005,324.49,59.369,188.485,N12-UPal,N27-UBha
1355861.167,-3.6660000000000004,138.30700000000002,324.654,59.492,186.347,N12-UPal,N27-UBha
1355861.333,-3.5189999999999997,140.602,324.818,59.61600000000001,184.21599999999998,N12-UPal,N27-UBha
1355861.5,-3.3680000000000003,142.888,324.982,59.74100000000001,182.09400000000002,N12-UPal,N27-UBha
1355861.667,-3.2110000000000003,145.166,325.14599999999996,59.867,179.98,N12-UPal,N27-UBha
1355861.833,-3.051,147.435,325.31,59.993,177.875,N12-UPal,N27-UBha
1355862.0,-2.886,149.695,325.474,60.118,175.77900000000002,N12-UPal,N27-UBha
1355862.167,-2.717,151.946,325.638,60.244,173.692,N13-Has,N27-UBha
1355862.333,-2.545,154.188,325.802,60.37,171.614,N13-Has,N27-UBha
1355862.5,-2.369,156.421,325.966,60.495,169.545,N13-Has,N27-UBha
1355862.667,-2.191,158.644,326.13,60.62,167.486,N13-Has,N27-UBha
1355862.833,-2.01,160.857,326.293,60.744,165.43599999999998,N13-Has,N27-UBha
1355863.0,-1.8259999999999998,163.061,326.457,60.867,163.39600000000002,N13-Has,N27-UBha
1355863.167,-1.641,165.25599999999997,326.621,60.989,161.365,N14-Chi,N27-UBha
1355863.333,-1.454,167.44,326.785,61.108999999999995,159.345,N14-Chi,N27-UBha
1355863.5,-1.265,169.615,326.949,61.228,157.334,N14-Chi,N27-UBha
1355863.667,-1.0759999999999998,171.78099999999998,327.112,61.346000000000004,155.33100000000002,N14-Chi,N27-UBha
1355863.833,-0.885,173.937,327.276,61.461999999999996,153.339,N14-Chi,N27-UBha
1355864.0,-0.6940000000000001,176.084,327.44,61.576,151.356,N14-Chi,N27-UBha
1355864.167,-0.502,178.22099999999998,327.60400000000004,61.688,149.38299999999998,N15-Swa,N27-UBha
1355864.333,-0.31,180.34900000000002,327.767,61.798,147.418,N15-Swa,N27-UBha
1355864.5,-0.11900000000000001,182.46900000000002,327.931,61.905,145.46200000000002,N15-Swa,N27-UBha
1355864.667,0.07200000000000001,184.579,328.095,62.01,143.516,N16-Vis,N27-UBha
1355864.833,0.262,186.68099999999998,328.25800000000004,62.113,141.577,N16-Vis,N27-UBha
1355865.0,0.452,188.774,328.42199999999997,62.213,139.648,N16-Vis,N27-UBha
1355865.167,0.64,190.859,328.586,62.31,137.727,N16-Vis,N27-UBha
1355865.333,0.8270000000000001,192.93599999999998,328.749,62.403999999999996,135.813,N16-Vis,N27-UBha
1355865.5,1.012,195.005,328.913,62.495,133.908,N16-Vis,N27-UBha
1355865.667,1.196,197.06599999999997,329.07599999999996,62.583,132.01,N16-Vis,N27-UBha
1355865.833,1.3769999999999998,199.12099999999998,329.24,62.668,130.119,N16-Vis,N27-UBha
1355866.0,1.556,201.168,329.404,62.75,128.236,N16-Vis,N27-UBha
1355866.167,1.733,203.209,329.56699999999995,62.828,126.35799999999999,N17-Anu,N27-UBha
1355866.333,1.9069999999999998,205.243,329.731,62.902,124.488,N17-Anu,N27-UBha
1355866.5,2.0780000000000003,207.271,329.894,62.973,122.62299999999999,N17-Anu,N27-UBha
1355866.667,2.246,209.294,330.05699999999996,63.041000000000004,120.76299999999999,N17-Anu,N27-UBha
1355866.833,2.411,211.31099999999998,330.221,63.104,118.91,N17-Anu,N27-UBha
1355867.0,2.573,213.32299999999998,330.384,63.163999999999994,117.061,N17-Anu,N27-UBha
1355867.167,2.7310000000000003,215.331,330.548,63.22,115.21700000000001,N17-Anu,N27-UBha
1355867.333,2.886,217.334,330.711,63.272,113.37700000000001,N18-Jye,N27-UBha
1355867.5,3.037,219.333,330.875,63.32,111.542,N18-Jye,N27-UBha
1355867.667,3.1839999999999997,221.328,331.038,63.364,109.71,N18-Jye,N27-UBha
