gname,nid,nnid,tag,sname,hip,naks,enaks,daivata,raJ2000,decJ2000,lonJ2000,latJ2000,hr_daynum_kuru,hr_jd_kuru,hr_utc_kuru,hr_az_kuru,hr_alt_kuru
β Aqr,N23-Dha,23,other,Sadaldud,HIP 106278,धनिष्ठा,Dhaniṣṭhā,Vasu,322.89,-5.57,323.39,8.62,363,1210083.58,-1400-12-30 01:56:23.567,111.52,7.62
γ Aqr,N23-Dha,23,other,Sadachbia,HIP 110395,धनिष्ठा,Dhaniṣṭhā,Vasu,335.41,-1.39,336.71,8.24,11,1209731.58,-1400-01-12 01:57:06.854,110.69,7.75
ζ1 Aqr,N23-Dha,23,other,zetAqr,HR 8559,धनिष्ठा,Dhaniṣṭhā,Vasu,337.21,-0.02,338.90,8.85,12,1209732.58,-1400-01-13 01:57:06.854,109.32,7.29
η Aqr,N23-Dha,23,other,etaAqr,HIP 111497,धनिष्ठा,Dhaniṣṭhā,Vasu,338.84,-0.12,340.40,8.15,14,1209734.58,-1400-01-15 01:56:23.567,109.81,7.20
λ Aqr,N24-Sha,24,rep,Hydor,HIP 112961,शतभिषक्,Śatabhiṣak,Varuṇa,343.15,-7.58,341.57,-0.39,23,1209743.58,-1400-01-24 01:53:30.421,119.61,7.04
α Peg,N25-PBha,25,rep,Markab,HIP 113963,पूर्वाभाद्रपदा,P Proṣṭapada,Aja,346.19,15.21,353.48,19.41,17,1209737.58,-1400-01-18 01:55:40.281,94.23,7.52
β Peg,N25-PBha,25,other,Scheat,HIP 113881,पूर्वाभाद्रपदा,P Proṣṭapada,Aja,345.94,28.08,359.37,31.14,12,1209732.58,-1400-01-13 01:57:06.854,79.74,7.58
γ Peg,N26-UBha,26,other,Algenib,HIP 1067,उत्तराभाद्रपदा,U Proṣṭapada,Ahirbudhnya,3.31,15.18,9.15,12.60,38,1209758.57,-1400-02-08 01:43:46.052,97.03,7.54
α And,N26-UBha,26,rep,Alpheratz,HIP 677,उत्तराभाद्रपदा,U Proṣṭapada,Ahirbudhnya,2.10,29.09,14.31,25.68,29,1209749.58,-1400-01-30 01:50:15.631,81.03,7.52
ε Psc,N27-Rev,27,rep,epsPsc,HIP 4906,रेवती,Revatī,Pūṣan,15.74,7.89,17.52,1.09,60,1209780.56,-1400-03-02 01:21:24.168,106.29,7.21
μ Psc,N27-Rev,27,rep,muPsc,HIP 7007,रेवती,Revatī,Pūṣan,22.55,6.14,23.13,-3.06,72,1209792.55,-1400-03-14 01:06:58.437,108.57,7.37
ζ Psc,N27-Rev,27,rep,Revati,HIP 7007,रेवती,Revatī,Pūṣan,22.55,6.14,23.13,-3.06,72,1209792.55,-1400-03-14 01:06:58.437,108.57,7.37
