iter	fits	jd	sun_ra	sun_dec	sun_lon	sun_lat	moon_ra	moon_dec	moon_lon	moon_lat	phase	jd_diff	yr	stel_jd	sun_naks	moon_naks	eqnx_1_tol	eqnx_2_tol	eqnx_3_tol	eqnx_4_tol	sun_न	moon_न	moon_phase	_season	season
3	-01879-08-31T09:32:49.923	1035011.897800034	208.52561208256424	-11.95030029545387	157.00710394505225	-0.005771862389248	26.52176708158153	16.438190661244818	336.8188812462733	4.892547450475033	179.80776886290548	29.478335466003045	-1878	1034995.897789352	N15-Swa/α Boo	N01-Ash/γ Ari	False	False	False	False	N15-Swa	N01-Ash	1	4	4
3	-01879-09-29T21:01:38.107	1035041.3761355	238.29026529821084	-20.694589386762367	186.82032365730177	-0.0076968675757906	57.15630642012668	25.284365213269496	6.8095550168987	4.714867387523397	179.98033071271152	29.491019695647992	-1878	1035025.3761342592	N17-Anu/δ Sco	N03-Kri/* 27 Tau	False	False	False	False	N17-Anu	N03-Kri	1	4	4
2	-01879-10-29T08:48:42.209	1035070.8671551958	270.70820543107	-23.96265379705777	216.91953379476664	-0.0074360981163455	89.72432610782248	27.15277842169831	36.04025956927363	3.1968473493717027	179.1093114594277	29.69245943322312	-1878	1035054.8671527776	N20-PAsh/γ Sgr	N05-Mrg/α Ori	False	False	False	False	N20-PAsh	N05-Mrg	1	5	5
3	-01879-11-28T01:25:50.704	1035100.559614629	303.27710392790806	-20.403534561121056	247.22219493466503	-0.0049952251875088	122.9986797158396	21.10682152660086	66.82343261528258	0.6331728347412003	179.59038789211866	29.673480467521586	-1878	1035084.5596064816	N22-Shr/α Aql	N07-Pun/β Gem	False	False	False	False	N22-Shr	N07-Pun	1	5	5
3	-01879-12-27T17:35:39.416	1035130.2330950964	333.0985442288689	-11.404128625403404	277.22517190712176	-0.0009780461092145	151.48514593539738	9.849419651945569	96.31107357307953	-2.0194024782094577	179.07847065334272	29.794986259075813	-1878	1035114.2330902778	N24-Sha/λ Aqr	N10-Mag/α Leo	False	False	False	False	N24-Sha	N10-Mag	1	0	0
4	-01878-01-26T12:40:26.229	1035160.0280813556	0.5572723298056004	0.2092594345572789	306.8754423055297	0.0035269587376448	178.67502859452205	-3.8905457755136887	126.65475024013207	-4.130991630120585	179.7773082847458	29.69347482197918	-1877	1035144.0280787036	N25-PBha/β Peg	N12-UPal/β Leo	False	False	False	False	N25-PBha	N12-UPal	1	0	0
4	-01878-02-25T05:19:02.454	1035189.7215561776	27.45290808791277	11.548062457347212	335.8929660310651	0.0072428943319084	205.36740936268825	-16.096649691875925	155.6610709013285	-4.98030828882009	179.77189570941704	29.63207826379221	-1877	1035173.721550926	N01-Ash/γ Ari	N15-Swa/α Boo	False	False	False	False	N01-Ash	N15-Swa	1	1	1
4	-01878-03-26T20:29:14.016	1035219.3536344414	55.754164819940506	20.156131637467794	4.398755045492426	0.0092673932868185	234.4553430292013	-24.455180754831087	184.2237625086821	-4.469565103967214	179.83357215372266	29.50199396838434	-1877	1035203.3536342592	N03-Kri/* 17 Tau	N17-Anu/δ Sco	False	False	False	False	N03-Kri	N17-Anu	1	1	1
3	-01878-04-25T08:32:06.295	1035248.8556284098	85.86308723096515	23.907601236291413	32.50875877901704	0.0092285397326898	264.9471447139619	-26.70655158428909	211.76270436289727	-2.8340344599926826	179.2651642032105	29.5162227822002	-1877	1035232.855625	N05-Mrg/λ Ori	N19-Mul/θ Sco	False	False	False	False	N05-Mrg	N19-Mul	1	2	2
3	-01878-05-24T20:55:27.943	1035278.371851192	116.3007680797938	21.741841568975666	60.59433845295162	0.0072034362868543	296.0583060306133	-22.17308594174441	240.2848466418521	-0.3913696985191871	179.70174410494593	29.442724368884228	-1877	1035262.3718402778	N07-Pun/β Gem	N22-Shr/α Aql	False	False	False	False	N07-Pun	N22-Shr	1	2	2
