date	index	jd	lati_Jupiter	lati_Mars	lati_Mercury	lati_Moon	lati_Saturn	lati_Sun	lati_Venus	long_Jupiter	long_Mars	long_Mercury	long_Moon	long_Saturn	long_Sun	long_Venus	long_jyeshta
-575-04-06	126544	1511140.5	-1.2318677247410053	-0.436316778159096	1.6499442697320643	2.650394634548096	1.9374386725493469	0.0	1.2078608623415588	345.3623401522668	9.885428828048132	26.09379866111584	273.9790400392945	231.2316357661749	14.689618257386485	46.72870087084175	213.7108312328767
-575-04-13	126545	1511147.5	-1.244824101829356	-0.3683851825254352	-0.17409842526414282	4.487667634764403	1.9433247175834425	0.0	1.5002259843250687	346.90665656328764	14.875244371683607	22.9759855370757	2.026268843114508	230.84826191009674	21.407318011124342	55.050693716378824	213.7108690410959
-575-04-20	126546	1511154.5	-1.2596719971217314	-0.29933480634569204	-2.0725714169572726	-3.3200323593206202	1.9466035011792209	0.0	1.7554540815634163	348.4037379247152	19.822738661162244	19.25465134597169	102.40948868206176	230.41707575236455	28.10787607067585	63.31833056976694	213.71090684931508
-575-04-27	126547	1511161.5	-1.2764286329413668	-0.22935817274536585	-3.3217830447716783	-3.5539575137353303	1.9470410385108647	0.0	1.962372149867475	349.8461150955553	24.72837724237769	17.799445049189845	198.321996070326	229.94841152045313	34.794090487777794	71.52582521958199	213.71094465753424
-575-05-04	126548	1511168.5	-1.2951079896679292	-0.15862457644198993	-3.6850289693576506	3.3657095368510435	1.9444690617633225	0.0	2.110293954832392	351.22599795797964	29.59276550394378	19.883398217431303	282.3369345994887	229.45364201433318	41.468921466735075	79.66606192252074	213.71098246575343
-575-05-11	126549	1511175.5	-1.3157172903658485	-0.08727991873130682	-3.286098409672068	3.9467716099501535	1.9387943777214909	0.0	2.1892206733757065	352.5352336156849	34.41661727387208	25.43370950077957	11.17594322234612	228.9448790989933	48.13545580868095	87.73023236884127	213.7110202739726
-575-05-18	126550	1511182.5	-1.338252460984473	-0.015446754918742603	-2.329701739898961	-4.011546651275993	1.9300043864713528	0.0	2.1900143629487925	353.7652788039275	39.200723487151436	34.0572394170523	111.97099415491935	228.43462794960902	54.796871422526294	95.707383007371	213.71105808219178
-575-05-25	126551	1511189.5	-1.3626923557795163	0.05677549942383631	-1.0334238654379353	-2.8439716144260583	1.918168117198352	0.0	2.104538757180566	354.90719292201027	43.94592100771722	45.46223678470005	206.96537749828727	227.93541630654855	61.45640193959508	103.58383361700402	213.71109589041097
-575-06-01	126552	1511196.5	-1.3889915299219329	0.12931025309913194	0.31235896991511586	3.9831787865353436	1.9034326210774823	0.0	1.9257630180131915	355.9516601524595	48.65306160795758	59.19815021611634	290.727666674248	227.45942310373653	68.11730141779219	111.34240851076927	213.71113369863014
-575-06-08	126553	1511203.5	-1.4170713614372463	0.2021033600121581	1.3421769756245443	3.266431172150537	1.8860150785808845	0.0	1.6478260305039327	356.8890515426586	53.32298103423727	74.10511996706201	20.37550093654545	227.0181309041624	74.78280908086793	118.96139403764937	213.71117150684933
-575-06-15	126554	1511210.5	-1.4468093927142402	0.2751227163077057	1.8212641074869496	-4.553220517882285	1.8661914357274456	0.0	1.2660625707024744	357.70954056343544	57.95646802344203	88.68442638631741	121.51316732999607	226.6220235934572	81.45611403196597	126.41309638033384	213.7112093150685
-575-06-22	126555	1511217.5	-1.4780269053998203	0.3483578693560058	1.7577526615231966	-2.04980188278892	1.8442827025279256	0.0	0.7770003317260733	358.4032882154967	62.55423307297161	102.10730154339176	215.5452021619299	226.2803453342733	88.14031988583235	133.66181676300045	213.71124712328768
