UTC_Date,EclType,PenMag,UmbralMag,PenEclipseBegins,Alt1,PartialEclipseBegins,Alt2,TotalEclipseBegins,Alt3,MidEclipse,Alt4,TotalEclipseEnds,Alt5,PartialEclipseEnds,Alt6,PenEclipseEnds,Alt7
b1953-01-02,T,2.381,1.387,14:12,-32,15:11,-25,16:13,-15,16:55,-08,17:37,-01,18:39,+12,19:38,+23
b1953-06-27,T,2.399,1.386,18:26,-08,19:29,+04,20:34,+16,21:18,+22,22:01,+28,23:06,+35,00:09,+37
b1953-12-23,N,1.049,-0.003,00:39,+82,-,-,-,-,02:56,+54,-,-,-,-,05:13,+25
b1952-05-18,N,0.047,-0.896,02:14,+35,-,-,-,-,02:43,+31,-,-,-,-,03:12,+26
b1951-05-07,P,1.364,0.418,17:45,-12,18:55,+02,-,-,20:02,+16,-,-,21:08,+28,22:18,+39
b1950-10-20,T,2.708,1.688,14:26,-45,15:26,-34,16:26,-22,17:15,-12,18:05,-01,19:05,+11,20:05,+24
b1949-04-16,P,1.512,0.469,16:14,-29,17:36,-12,-,-,18:53,+04,-,-,20:10,+20,21:33,+36
b1949-10-10,P,1.459,0.484,04:20,+23,05:29,+09,-,-,06:40,-06,-,-,07:51,-21,09:01,-35
b1948-03-06,N,0.402,-0.673,03:24,+46,-,-,-,-,04:59,+26,-,-,-,-,06:33,+06
b1948-04-04,N,0.106,-0.967,19:44,+17,-,-,-,-,20:34,+27,-,-,-,-,21:24,+37
b1948-09-28,N,0.254,-0.719,21:24,+35,-,-,-,-,22:31,+46,-,-,-,-,23:37,+54
b1947-02-23,P,1.806,0.772,05:46,+17,06:58,+02,-,-,08:30,-16,-,-,10:02,-32,11:14,-42
b1947-08-19,P,1.824,0.790,20:33,+17,21:44,+29,-,-,23:17,+40,-,-,00:49,+43,02:01,+38
b1946-02-12,T,2.528,1.545,16:22,-18,17:19,-08,18:19,+04,19:06,+13,19:52,+23,20:52,+35,21:50,+48
b1946-08-09,T,2.605,1.528,00:08,+39,01:18,+38,02:25,+31,03:14,+25,04:03,+17,05:10,+05,06:19,-09
b1945-07-29,P,1.267,0.191,00:39,+37,02:21,+29,-,-,03:14,+22,-,-,04:06,+14,05:48,-04
b1944-06-17,N,0.805,-0.190,17:42,-16,-,-,-,-,19:41,+07,-,-,-,-,21:39,+26
b1944-12-12,P,2.024,0.954,20:15,+35,21:27,+51,-,-,23:08,+72,-,-,00:48,+81,02:01,+67
b1943-12-01,T,2.523,1.417,20:50,+43,22:03,+59,23:12,+73,23:58,+80,00:44,+79,01:53,+66,03:06,+51
b1942-05-28,T,2.067,1.125,00:32,+43,01:28,+39,02:39,+30,03:05,+26,03:30,+22,04:42,+09,05:38,-02
b1942-11-20,P,1.292,0.202,20:48,+42,22:29,+63,-,-,23:22,+73,-,-,00:15,+78,01:56,+64
b1941-05-17,N,0.654,-0.323,16:58,-23,-,-,-,-,18:44,-01,-,-,-,-,20:30,+19
b1941-11-10,N,0.119,-0.916,03:40,+38,-,-,-,-,04:29,+28,-,-,-,-,05:19,+17
b1940-09-30,P,1.761,0.793,03:27,+32,04:29,+20,-,-,05:55,+03,-,-,07:21,-15,08:23,-28
b1939-03-26,T,2.804,1.731,13:03,-56,14:13,-49,15:18,-39,16:11,-29,17:04,-18,18:08,-05,19:18,+10
b1939-09-19,T,2.689,1.709,18:57,+04,19:53,+15,20:50,+27,21:39,+36,22:28,+44,23:25,+51,00:21,+54
b1938-03-15,P,1.422,0.381,16:04,-27,17:29,-11,-,-,18:38,+04,-,-,19:48,+18,21:13,+36
b1937-02-03,N,0.726,-0.247,16:29,-15,-,-,-,-,18:18,+04,-,-,-,-,20:06,+26
b1937-03-05,N,0.138,-0.851,03:06,+50,-,-,-,-,03:58,+39,-,-,-,-,04:49,+28
b1937-07-30,N,0.462,-0.619,20:57,+17,-,-,-,-,22:38,+31,-,-,-,-,00:20,+37
b1936-07-18,P,1.807,0.742,20:07,+10,21:24,+22,-,-,22:58,+33,-,-,00:32,+37,01:49,+33
b1935-01-12,T,2.409,1.415,22:43,+66,23:42,+78,00:44,+84,01:27,+77,02:10,+68,03:12,+54,04:10,+42
b1935-07-08,T,2.526,1.513,01:39,+32,02:41,+25,03:44,+16,04:31,+08,05:18,+00,06:21,-12,07:23,-25
b1934-06-27,P,1.156,0.196,15:08,-50,16:31,-32,-,-,17:19,-23,-,-,18:06,-13,19:29,+03
b1934-11-22,N,0.477,-0.631,16:31,-13,-,-,-,-,18:15,+08,-,-,-,-,19:59,+30
b1933-05-19,P,1.226,0.278,01:16,+42,02:33,+33,-,-,03:28,+24,-,-,04:24,+14,05:40,-01
b1933-11-11,P,1.741,0.666,15:56,-22,17:14,-06,-,-,18:43,+12,-,-,20:11,+31,21:30,+48
b1932-05-07,T,2.608,1.617,15:02,-47,16:02,-34,17:02,-22,17:52,-12,18:41,-01,19:41,+11,20:41,+22
b1932-10-30,T,2.707,1.689,23:11,+65,00:11,+70,01:11,+65,02:00,+58,02:49,+48,03:49,+36,04:49,+23
b1931-04-26,P,1.660,0.614,22:50,+49,00:08,+54,-,-,01:34,+49,-,-,03:01,+37,04:19,+22
b1930-04-16,N,0.250,-0.820,01:48,+53,-,-,-,-,03:05,+40,-,-,-,-,04:21,+25
b1930-09-10,N,0.517,-0.472,19:00,+03,-,-,-,-,20:35,+22,-,-,-,-,22:09,+39
b1930-10-10,N,0.266,-0.710,06:10,+00,-,-,-,-,07:18,-14,-,-,-,-,08:26,-28
b1929-03-06,P,1.709,0.681,13:15,-49,14:28,-42,-,-,15:55,-29,-,-,17:23,-12,18:36,+03
b1929-08-31,P,1.762,0.721,04:24,+16,05:37,+01,-,-,07:07,-17,-,-,08:36,-36,09:49,-51
b1928-02-24,T,2.603,1.626,00:21,+77,01:18,+74,02:17,+64,03:05,+54,03:53,+44,04:52,+31,05:49,+19
b1927-02-12,P,1.310,0.355,16:40,-15,17:53,-01,-,-,18:54,+11,-,-,19:56,+23,21:08,+39
b1926-01-03,N,0.756,-0.255,21:52,+55,-,-,-,-,23:47,+79,-,-,-,-,01:41,+73
